frame.time_epoch,frame.len
1732313576.308484000,114
1732313576.323305000,114
1732313576.324051000,7306
1732313576.324051000,7306
1732313576.324169000,66
1732313576.324534000,14546
1732313576.324571000,66
1732313576.324608000,14546
1732313576.324690000,66
1732313576.325150000,29026
1732313576.325222000,7306
1732313576.325222000,21786
1732313576.325296000,66
1732313576.325349000,66
1732313576.325696000,43506
1732313576.325784000,49298
1732313576.325852000,8754
1732313576.325852000,7306
1732313576.325869000,66
1732313576.325883000,7306
1732313576.325947000,23234
1732313576.325973000,66
1732313576.326010000,66
1732313576.326010000,34818
1732313576.326094000,29026
1732313576.326112000,66
1732313576.326155000,29026
1732313576.326178000,66
1732313576.326235000,66
1732313576.326254000,7306
1732313576.326254000,65226
1732313576.326353000,20338
1732313576.326408000,23234
1732313576.326423000,66
1732313576.326450000,21786
1732313576.326455000,66
1732313576.326486000,66
1732313576.326494000,24682
1732313576.326514000,66
1732313576.326545000,23234
1732313576.326567000,66
1732313576.326590000,17442
1732313576.326603000,11650
1732313576.326606000,66
1732313576.326637000,66
1732313576.326645000,29026
1732313576.326647000,78
1732313576.326650000,36266
1732313576.326697000,78
1732313576.326720000,78
1732313576.326738000,36266
1732313576.326768000,44954
1732313576.326790000,78
1732313576.326802000,10202
1732313576.326825000,11650
1732313576.326839000,78
1732313576.326841000,20338
1732313576.326851000,78
1732313576.326861000,78
1732313576.326869000,43506
1732313576.326894000,78
1732313576.326902000,65226
1732313576.326928000,78
1732313576.326942000,14546
1732313576.326979000,78
1732313576.326983000,7306
1732313576.326985000,23234
1732313576.326990000,78
1732313576.327003000,78
1732313576.327027000,78
1732313576.327033000,27578
1732313576.327050000,57986
1732313576.327076000,78
1732313576.327122000,78
1732313576.327133000,65226
1732313576.327145000,34818
1732313576.327195000,78
1732313576.327216000,78
1732313576.327220000,30474
1732313576.327235000,17442
1732313576.327284000,78
1732313576.327292000,62330
1732313576.327297000,66
1732313576.327416000,2962
1732313576.327417000,65226
1732313576.327521000,24682
1732313576.327569000,66
1732313576.327583000,40610
1732313576.327668000,52194
1732313576.327722000,66
1732313576.327739000,13098
1732313576.327795000,65226
1732313576.327822000,66
1732313576.327844000,66
1732313576.327876000,14546
1732313576.327933000,66
1732313576.327934000,50746
1732313576.327958000,66
1732313576.328025000,42058
1732313576.328059000,66
1732313576.328111000,23234
1732313576.328131000,66
1732313576.328181000,66
1732313576.328216000,65226
1732313576.328297000,4410
1732313576.328359000,66
1732313576.328376000,66
1732313576.328398000,60882
1732313576.328500000,31922
1732313576.328540000,66
1732313576.328565000,33370
1732313576.328581000,66
1732313576.328644000,59434
1732313576.328653000,66
1732313576.328761000,5858
1732313576.328762000,65226
1732313576.328776000,66
1732313576.328864000,21786
1732313576.328913000,43506
1732313576.328922000,66
1732313576.328957000,66
1732313576.328974000,49298
1732313576.329002000,66
1732313576.329029000,15994
1732313576.329055000,66
1732313576.329081000,66
1732313576.329084000,65226
1732313576.329139000,11650
1732313576.329185000,53642
1732313576.329202000,66
1732313576.329224000,66
1732313576.329249000,39162
1732313576.329277000,66
1732313576.329309000,26130
1732313576.329318000,66
1732313576.329368000,66
1732313576.329377000,65226
1732313576.329427000,1514
1732313576.329472000,63778
1732313576.329489000,66
1732313576.329537000,29026
1732313576.329577000,66
1732313576.329592000,36266
1732313576.329615000,66
1732313576.329655000,66
1732313576.329655000,56538
1732313576.329742000,8754
1732313576.329742000,65226
1732313576.329752000,66
1732313576.329812000,18890
1732313576.329861000,46402
1732313576.329866000,66
1732313576.329891000,66
1732313576.329934000,46402
1732313576.329936000,66
1732313576.329987000,18890
1732313576.330024000,66
1732313576.330044000,65226
1732313576.330050000,66
1732313576.330114000,8754
1732313576.330161000,56538
1732313576.330173000,66
1732313576.330194000,66
1732313576.330228000,36266
1732313576.330252000,66
1732313576.330279000,29026
1732313576.330292000,66
1732313576.330333000,66
1732313576.330345000,63778
1732313576.330428000,1514
1732313576.330428000,65226
1732313576.330455000,66
1732313576.330491000,26130
1732313576.330541000,39162
1732313576.330543000,66
1732313576.330578000,66
1732313576.330599000,53642
1732313576.330620000,66
1732313576.330652000,11650
1732313576.330691000,66
1732313576.330698000,65226
1732313576.330712000,66
1732313576.330743000,4058
1732313576.330804000,66
1732313576.330820000,66
1732313576.336760000,114
1732313576.364150000,114
1732313576.364238000,66
1732313576.390772000,114
1732313576.394148000,114
1732313576.394369000,27578
1732313576.394417000,37714
1732313576.394419000,66
1732313576.394467000,55090
1732313576.394476000,66
1732313576.394537000,10202
1732313576.394537000,65226
1732313576.394548000,66
1732313576.394598000,17442
1732313576.394629000,47850
1732313576.394647000,66
1732313576.394670000,66
1732313576.394679000,44954
1732313576.394703000,66
1732313576.394724000,20338
1732313576.394753000,66
1732313576.394761000,65226
1732313576.394772000,66
1732313576.394807000,7306
1732313576.394845000,57986
1732313576.394859000,66
1732313576.394871000,66
1732313576.394902000,34818
1732313576.394936000,66
1732313576.394940000,30474
1732313576.394967000,66
1732313576.394984000,62330
1732313576.394991000,66
1732313576.395050000,2962
1732313576.395050000,65226
1732313576.395067000,66
1732313576.395106000,24682
1732313576.395142000,66
1732313576.395143000,40610
1732313576.395164000,66
1732313576.395191000,52194
1732313576.395203000,66
1732313576.395232000,13098
1732313576.395261000,66
1732313576.395263000,65226
1732313576.395276000,66
1732313576.395311000,14546
1732313576.395340000,50746
1732313576.395347000,66
1732313576.395362000,66
1732313576.395389000,42058
1732313576.395412000,66
1732313576.395435000,23234
1732313576.395442000,66
1732313576.395472000,55090
1732313576.395473000,66
1732313576.395517000,14546
1732313576.395546000,66
1732313576.395546000,50746
1732313576.395572000,66
1732313576.395605000,42058
1732313576.395624000,66
1732313576.395645000,23234
1732313576.395662000,66
1732313576.395678000,66
1732313576.395682000,65226
1732313576.395727000,4410
1732313576.395751000,60882
1732313576.395764000,66
1732313576.395773000,66
1732313576.395804000,31922
1732313576.395828000,66
1732313576.395838000,33370
1732313576.395856000,66
1732313576.395890000,59434
1732313576.395893000,66
1732313576.395953000,5858
1732313576.395953000,65226
1732313576.395966000,66
1732313576.396012000,21786
1732313576.396042000,43506
1732313576.396043000,66
1732313576.396059000,66
1732313576.396089000,49298
1732313576.396100000,66
1732313576.396132000,15994
1732313576.396151000,66
1732313576.396164000,66
1732313576.396164000,65226
1732313576.396212000,11650
1732313576.396239000,53642
1732313576.396244000,66
1732313576.396256000,66
1732313576.396271000,39162
1732313576.396286000,66
1732313576.396301000,26130
1732313576.396310000,66
1732313576.396327000,66
1732313576.396334000,65226
1732313576.396358000,1514
1732313576.396383000,63778
1732313576.396395000,66
1732313576.396425000,29026
1732313576.396452000,36266
1732313576.396453000,66
1732313576.396474000,66
1732313576.396481000,56538
1732313576.396496000,66
1732313576.396525000,8754
1732313576.396527000,66
1732313576.396525000,65226
1732313576.396558000,18890
1732313576.396584000,46402
1732313576.396592000,66
1732313576.396607000,66
1732313576.396617000,46402
1732313576.396633000,66
1732313576.396640000,18890
1732313576.396660000,66
1732313576.396665000,55090
1732313576.396673000,66
1732313576.396692000,10202
1732313576.396692000,8754
1732313576.396717000,66
1732313576.396723000,56538
1732313576.396731000,66
1732313576.396765000,36266
1732313576.396784000,13098
1732313576.396785000,66
1732313576.396797000,15994
1732313576.396817000,66
1732313576.396826000,55090
1732313576.396830000,66
1732313576.396851000,8754
1732313576.396863000,1514
1732313576.396863000,11650
1732313576.396880000,66
1732313576.396886000,43506
1732313576.396896000,66
1732313576.396913000,10202
1732313576.396913000,26130
1732313576.396930000,66
1732313576.396932000,13098
1732313576.396942000,15994
1732313576.396953000,66
1732313576.396971000,10202
1732313576.396972000,66
1732313576.396971000,53642
1732313576.397003000,11650
1732313576.397028000,65226
1732313576.397034000,66
1732313576.397045000,66
1732313576.397058000,15994
1732313576.397079000,39162
1732313576.397088000,66
1732313576.397110000,10202
1732313576.397110000,43506
1732313576.397122000,66
1732313576.450717000,114
1732313576.451016000,65226
1732313576.451123000,66
1732313576.451129000,27578
1732313576.451177000,66
1732313576.451177000,37714
1732313576.451215000,66
1732313576.451255000,55090
1732313576.451339000,66
1732313576.451344000,10202
1732313576.451344000,65226
1732313576.451425000,17442
1732313576.451465000,66
1732313576.451469000,47850
1732313576.451481000,66
1732313576.451539000,44954
1732313576.451551000,66
