frame.time_epoch,frame.len
1732301086.872719000,114
1732301086.872948000,31922
1732301086.872999000,66
1732301086.873008000,33370
1732301086.873040000,59434
1732301086.873042000,66
1732301086.873079000,5858
1732301086.873079000,56538
1732301086.873093000,66
1732301086.873130000,8754
1732301086.873131000,50746
1732301086.873139000,66
1732301086.873164000,14546
1732301086.873185000,66
1732301086.873187000,52194
1732301086.873197000,66
1732301086.873216000,13098
1732301086.873236000,66
1732301086.873238000,46402
1732301086.873247000,66
1732301086.873270000,18890
1732301086.873284000,66
1732301086.873291000,43506
1732301086.873299000,66
1732301086.873323000,21786
1732301086.873343000,66
1732301086.873360000,66
1732301086.873361000,60882
1732301086.873415000,4410
1732301086.873415000,57986
1732301086.873427000,66
1732301086.873460000,7306
1732301086.873460000,46402
1732301086.873488000,66
1732301086.873506000,18890
1732301086.873518000,66
1732301086.873530000,65226
1732301086.873531000,66
1732301086.873555000,8754
1732301086.873572000,40610
1732301086.873588000,66
1732301086.873596000,15994
1732301086.873612000,30474
1732301086.873615000,66
1732301086.873627000,66
1732301086.873631000,17442
1732301086.873644000,66
1732301086.873646000,23234
1732301086.873656000,66
1732301086.873666000,21786
1732301086.873670000,66
1732301086.873693000,20338
1732301086.873693000,66
1732301086.873710000,31922
1732301086.873717000,66
1732301086.873740000,33370
1732301086.873745000,66
1732301086.873764000,30474
1732301086.873776000,66
1732301086.873790000,30474
1732301086.873795000,66
1732301086.873823000,66
1732301086.873827000,4410
1732301086.873827000,39162
1732301086.873860000,26130
1732301086.873873000,66
1732301086.873876000,30474
1732301086.873890000,66
1732301086.873901000,30474
1732301086.873907000,66
1732301086.873935000,66
1732301086.873948000,4410
1732301086.873948000,50746
1732301086.873978000,14546
1732301086.873995000,40610
1732301086.874001000,66
1732301086.874014000,66
1732301086.874025000,24682
1732301086.874039000,66
1732301086.874039000,27578
1732301086.874054000,66
1732301086.874070000,66
1732301086.874072000,37714
1732301086.874095000,27578
1732301086.874133000,37714
1732301086.874134000,66
1732301086.874152000,66
