Time (s),Data Size (MB)
0.247467,3.0764617919921875
1.2474669999999999,0.0
2.417491,6.152488708496094
3.417491,0.0
4.585676,6.158895492553711
5.585676,0.0
6.773387,6.161809921264648
7.773387,0.0
8.927938,6.151922225952148
9.927938,0.0
11.100133,6.192863464355469
12.100133,0.0
13.266056,6.149782180786133
14.266056,0.0
15.432797,6.148494720458984
16.432797,0.0
17.594219,6.147642135620117
18.594219,0.0
19.767836,6.586236953735352
20.767836,0.0
21.95592,6.266502380371094
22.95592,0.0
24.097553,6.149152755737305
25.097553,0.0
26.071026,6.13530158996582
